night,eff,eff_poor,tst,waso,waso_poor,sol,rem_pct,n3_pct,restorative_pct,tib,deep,rem,bedtime,waketime,nap_min,steps,kcal,eff_lag1,bedtime_lag1,bedtime_sd7,weekend
2025-11-30,92.0,0.0,423.0,12.0,0.0,17.5,16.548463356973997,20.094562647754138,36.643026004728135,457.5,85.0,70.0,1.7666666666666666,9.316666666666666,0.0,4923,1702,88.0,1.3833333333333333,1.0092626571468455,0
2025-12-01,90.0,0.0,575.0,40.0,0.0,17.5,17.73913043478261,20.0,37.73913043478261,637.55,115.0,102.0,-0.6833333333333336,9.85,0.0,3269,1628,92.0,1.7666666666666666,1.0082437976777023,0
2025-12-02,80.0,1.0,420.0,50.0,1.0,47.5,37.38095238095238,25.0,62.38095238095238,522.5166666666667,105.0,157.0,1.0666666666666667,9.7,0.0,2508,1726,90.0,-0.6833333333333336,1.0876592506399445,0
2025-12-03,81.0,1.0,312.0,28.0,0.0,35.0,22.435897435897434,26.28205128205128,48.717948717948715,382.5,82.0,70.0,-0.3999999999999986,5.85,0.0,4935,1853,80.0,1.0666666666666667,0.9045592922675182,0
2025-12-04,96.0,0.0,457.0,8.0,0.0,7.5,28.446389496717725,20.787746170678336,49.23413566739606,477.5,95.0,130.0,-0.5,7.383333333333334,0.0,5591,1858,81.0,-0.3999999999999986,0.9355981591174252,0
2025-12-05,89.0,0.0,617.0,38.0,0.0,15.0,13.290113452188006,19.448946515397083,32.73905996758509,690.0,120.0,82.0,-0.75,10.416666666666666,0.0,8452,1692,96.0,-0.5,1.0085677938091193,1
2025-12-06,80.0,1.0,413.0,22.0,0.0,15.0,32.68765133171913,19.37046004842615,52.05811138014528,515.0,80.0,135.0,3.466666666666667,10.966666666666667,0.0,3010,1554,89.0,-0.75,1.0882124559139859,1
2025-12-07,82.0,1.0,311.0,14.0,0.0,47.5,25.080385852090032,24.115755627009648,49.19614147909968,377.5,75.0,78.0,1.1666666666666667,7.383333333333334,0.0,4669,1899,80.0,3.466666666666667,1.605632447216845,0
2025-12-08,90.0,0.0,477.0,11.0,0.0,25.0,26.20545073375262,23.060796645702307,49.266247379454924,530.0,110.0,125.0,0.38333333333333336,8.916666666666666,0.0,3409,1581,82.0,1.1666666666666667,1.5457956291127641,0
2025-12-09,81.0,1.0,466.0,100.0,1.0,10.0,18.88412017167382,30.042918454935624,48.927038626609445,577.5333333333333,140.0,88.0,1.1833333333333333,10.766666666666667,0.0,4082,1823,90.0,0.38333333333333336,1.4622091353686566,0
2025-12-10,87.0,0.0,562.0,31.0,0.0,40.016666666666666,30.604982206405694,25.800711743772244,56.405693950177934,647.55,145.0,172.0,-0.8666666666666671,9.683333333333334,0.0,5427,1586,81.0,1.1833333333333333,1.4686224333884632,0
2025-12-11,81.0,1.0,417.0,18.0,0.0,50.0,20.38369304556355,26.378896882494004,46.76258992805755,517.5,110.0,85.0,1.0666666666666667,9.15,0.0,5013,1847,87.0,-0.8666666666666671,1.5333937186177253,0
2025-12-12,92.0,0.0,503.0,22.0,0.0,15.0,18.88667992047714,15.904572564612327,34.791252485089466,547.5,80.0,95.0,0.7166666666666667,9.716666666666667,0.0,3043,1527,81.0,1.0666666666666667,1.4615712354142976,1
2025-12-13,91.0,0.0,550.0,15.0,0.0,22.5,27.272727272727273,23.636363636363637,50.90909090909091,602.5,130.0,150.0,0.5833333333333334,10.383333333333333,0.0,8006,1784,92.0,0.7166666666666667,1.2970050972229146,1
2025-12-14,92.0,0.0,475.0,13.0,0.0,22.5,18.94736842105263,27.36842105263158,46.31578947368421,515.0,130.0,90.0,0.8166666666666667,9.316666666666666,0.0,5183,1894,91.0,0.5833333333333334,0.7177455887420903,0
2025-12-15,88.0,0.0,538.0,42.0,1.0,22.5,38.66171003717472,19.516728624535315,58.17843866171004,607.5,105.0,208.0,0.7166666666666667,10.75,0.0,3769,1547,92.0,0.8166666666666667,0.6834494674832765,0
2025-12-16,85.0,0.0,448.0,27.0,0.0,45.0,29.017857142857142,21.875,50.892857142857146,527.5,98.0,130.0,1.8333333333333335,10.5,0.0,2747,1546,88.0,0.7166666666666667,0.6811230222423633,0
2025-12-17,85.0,0.0,508.0,22.0,0.0,60.0,25.19685039370079,23.62204724409449,48.818897637795274,597.5,120.0,128.0,0.13333333333333333,9.966666666666667,0.0,4545,1629,85.0,1.8333333333333335,0.8063242090863512,0
