outcome,predictors,model,accuracy,precision,recall,specificity,AUC
poor efficiency (<85%),M0 prior sleep,Logistic regression,0.648,0.0,0.0,0.9878048780487805,0.37138400453771975
poor efficiency (<85%),M0 prior sleep,Naive Bayes,0.648,0.0,0.0,0.9878048780487805,0.3722348269994328
poor efficiency (<85%),M0 prior sleep,Decision tree,0.504,0.14814814814814814,0.09302325581395349,0.7195121951219512,0.3633011911514464
poor efficiency (<85%),M0 prior sleep,Random forest,0.552,0.24,0.13953488372093023,0.7682926829268293,0.39506522972206465
poor efficiency (<85%),M0 prior sleep,Majority baseline,0.656,0.0,0.0,1.0,0.5
poor efficiency (<85%),M1 activity,Logistic regression,0.616,0.3076923076923077,0.09302325581395349,0.8902439024390244,0.48014747589336365
poor efficiency (<85%),M1 activity,Naive Bayes,0.608,0.36363636363636365,0.18604651162790697,0.8292682926829268,0.44526375496313103
poor efficiency (<85%),M1 activity,Decision tree,0.536,0.2222222222222222,0.13953488372093023,0.7439024390243902,0.4038570618264322
poor efficiency (<85%),M1 activity,Random forest,0.616,0.35294117647058826,0.13953488372093023,0.8658536585365854,0.41293250141803745
poor efficiency (<85%),M1 activity,Majority baseline,0.656,0.0,0.0,1.0,0.5
poor efficiency (<85%),M2 both,Logistic regression,0.592,0.2777777777777778,0.11627906976744186,0.8414634146341463,0.41038003403289847
poor efficiency (<85%),M2 both,Naive Bayes,0.576,0.375,0.3488372093023256,0.6951219512195121,0.46993760635280774
poor efficiency (<85%),M2 both,Decision tree,0.568,0.358974358974359,0.32558139534883723,0.6951219512195121,0.5100680657969371
poor efficiency (<85%),M2 both,Random forest,0.568,0.3225806451612903,0.23255813953488372,0.7439024390243902,0.43732274532047644
poor efficiency (<85%),M2 both,Majority baseline,0.656,0.0,0.0,1.0,0.5
high WASO (>=41 min),M0 prior sleep,Logistic regression,0.448,0.46153846153846156,0.1791044776119403,0.7586206896551724,0.5567421513124035
high WASO (>=41 min),M0 prior sleep,Naive Bayes,0.416,0.38461538461538464,0.14925373134328357,0.7241379310344828,0.5225167267112713
high WASO (>=41 min),M0 prior sleep,Decision tree,0.44,0.45714285714285713,0.23880597014925373,0.6724137931034483,0.4975553268142049
high WASO (>=41 min),M0 prior sleep,Random forest,0.4,0.4,0.23880597014925373,0.5862068965517241,0.44184251158003085
high WASO (>=41 min),M0 prior sleep,Majority baseline,0.392,0.32,0.11940298507462686,0.7068965517241379,0.41314976839938233
high WASO (>=41 min),M1 activity,Logistic regression,0.408,0.3793103448275862,0.16417910447761194,0.6896551724137931,0.5023160061760165
high WASO (>=41 min),M1 activity,Naive Bayes,0.424,0.41379310344827586,0.1791044776119403,0.7068965517241379,0.5517241379310345
high WASO (>=41 min),M1 activity,Decision tree,0.48,0.5208333333333334,0.373134328358209,0.603448275862069,0.554812146165723
high WASO (>=41 min),M1 activity,Random forest,0.44,0.43478260869565216,0.14925373134328357,0.7758620689655172,0.5138960370560988
high WASO (>=41 min),M1 activity,Majority baseline,0.392,0.32,0.11940298507462686,0.7068965517241379,0.41314976839938233
high WASO (>=41 min),M2 both,Logistic regression,0.488,0.5333333333333333,0.3582089552238806,0.6379310344827587,0.5419454451878538
high WASO (>=41 min),M2 both,Naive Bayes,0.408,0.43636363636363634,0.3582089552238806,0.46551724137931033,0.5100360267627381
high WASO (>=41 min),M2 both,Decision tree,0.544,0.6136363636363636,0.40298507462686567,0.7068965517241379,0.5791302110138961
high WASO (>=41 min),M2 both,Random forest,0.48,0.5277777777777778,0.2835820895522388,0.7068965517241379,0.4886773031394751
high WASO (>=41 min),M2 both,Majority baseline,0.392,0.32,0.11940298507462686,0.7068965517241379,0.41314976839938233
