outcome,predictors,model,R2,RMSE,MAE
sleep efficiency (%),M0 prior sleep,Linear regression,-0.08161449317904346,4.3078770865911915,3.429604265253538
sleep efficiency (%),M0 prior sleep,Decision tree,-0.4960910194489392,5.066476847924922,4.099482506340172
sleep efficiency (%),M0 prior sleep,Random forest,-0.4903182627518372,5.05669274866861,4.116238957930925
sleep efficiency (%),M0 prior sleep,Mean baseline,-0.029376880392662397,4.2025632586368795,3.316377455443635
sleep efficiency (%),M1 activity,Linear regression,-0.060038204279774465,4.264693392271365,3.3755520486736033
sleep efficiency (%),M1 activity,Decision tree,-0.25228437915137736,4.6353073516679855,3.6883128789479445
sleep efficiency (%),M1 activity,Random forest,-0.23179652824568175,4.597233283243455,3.70398385210291
sleep efficiency (%),M1 activity,Mean baseline,-0.029376880392662397,4.2025632586368795,3.316377455443635
sleep efficiency (%),M2 both,Linear regression,-0.25493026678679764,4.640201619769938,3.6855620732574987
sleep efficiency (%),M2 both,Decision tree,-0.4518583476202134,4.991018473891597,3.7842145497877215
sleep efficiency (%),M2 both,Random forest,-0.2638128086025433,4.656594605379491,3.568842569458668
sleep efficiency (%),M2 both,Mean baseline,-0.029376880392662397,4.2025632586368795,3.316377455443635
total sleep time (min),M0 prior sleep,Linear regression,-0.037885537969287286,104.60767686491496,84.6368302919905
total sleep time (min),M0 prior sleep,Decision tree,-0.19886708160340572,112.42796372917033,89.71255242605382
total sleep time (min),M0 prior sleep,Random forest,-0.2846430932068067,116.38046022164608,92.21970411177365
total sleep time (min),M0 prior sleep,Mean baseline,-0.03447443084876678,104.43563397183522,83.82807715134798
total sleep time (min),M1 activity,Linear regression,-0.1467210998130022,109.95569525261351,87.09467472430985
total sleep time (min),M1 activity,Decision tree,-0.39146588441384456,121.1225787493548,93.04820627738275
total sleep time (min),M1 activity,Random forest,-0.2385036928151425,114.27138207013871,90.1822943811179
total sleep time (min),M1 activity,Mean baseline,-0.03447443084876678,104.43563397183522,83.82807715134798
total sleep time (min),M2 both,Linear regression,-0.46164563084628973,124.13946616886857,97.04480523625176
total sleep time (min),M2 both,Decision tree,-0.4214535948520086,122.42078787506277,93.10143537755528
total sleep time (min),M2 both,Random forest,-0.2004111403052833,112.50034019175726,90.74234314025514
total sleep time (min),M2 both,Mean baseline,-0.03447443084876678,104.43563397183522,83.82807715134798
WASO (min),M0 prior sleep,Linear regression,-0.1877898170720922,28.744258107751147,21.979469363594752
WASO (min),M0 prior sleep,Decision tree,-0.5254259846498279,32.57443375708026,25.202400655200652
WASO (min),M0 prior sleep,Random forest,-0.48157538711990955,32.10281990204742,25.283048466149324
WASO (min),M0 prior sleep,Mean baseline,-0.13793866779206732,28.134599201869612,21.57161795652909
WASO (min),M1 activity,Linear regression,-0.15702786954144576,28.369600170545002,21.762823490016235
WASO (min),M1 activity,Decision tree,-0.4123304232206544,31.34364228942555,23.920316252636255
WASO (min),M1 activity,Random forest,-0.32348229715404564,30.341732371739212,23.18324679287549
WASO (min),M1 activity,Mean baseline,-0.13793866779206732,28.134599201869612,21.57161795652909
WASO (min),M2 both,Linear regression,-0.2849371440261701,29.896630701784314,22.752356076852305
WASO (min),M2 both,Decision tree,-0.6528008825252221,33.907172295961765,25.709635190999478
WASO (min),M2 both,Random forest,-0.3729224671629243,30.903261090917418,24.068097098823333
WASO (min),M2 both,Mean baseline,-0.13793866779206732,28.134599201869612,21.57161795652909
sleep latency (min),M0 prior sleep,Linear regression,-0.04632093441343277,13.88217449174793,11.6366253907739
sleep latency (min),M0 prior sleep,Decision tree,-0.15876443029177523,14.609071661393799,12.208320417077179
sleep latency (min),M0 prior sleep,Random forest,-0.12437589318614073,14.390663049059777,12.047016202007333
sleep latency (min),M0 prior sleep,Mean baseline,-0.05092070056202225,13.912654973180434,11.801973275878943
sleep latency (min),M1 activity,Linear regression,-0.09153924945816594,14.17897118655962,11.953012512941887
sleep latency (min),M1 activity,Decision tree,-0.9404319633794813,18.904894215965697,14.93685814632285
sleep latency (min),M1 activity,Random forest,-0.2650289805472137,15.264243277589634,12.547399324315652
sleep latency (min),M1 activity,Mean baseline,-0.05092070056202225,13.912654973180434,11.801973275878943
sleep latency (min),M2 both,Linear regression,-0.19184981594148698,14.816165090212852,12.40313632568155
sleep latency (min),M2 both,Decision tree,-0.8828188991865602,18.62212837196684,14.755471263757926
sleep latency (min),M2 both,Random forest,-0.32310584973629286,15.610698515897823,13.2680898774528
sleep latency (min),M2 both,Mean baseline,-0.05092070056202225,13.912654973180434,11.801973275878943
REM (% of TST),M0 prior sleep,Linear regression,-0.057553679092390286,6.574283145732411,5.061334849768347
REM (% of TST),M0 prior sleep,Decision tree,-0.18602327535347252,6.962156804735036,5.4295669648123095
REM (% of TST),M0 prior sleep,Random forest,-0.1397942448018854,6.825122085488745,5.430573606755595
REM (% of TST),M0 prior sleep,Mean baseline,-0.05404705817491906,6.563374640031828,5.038257313935068
REM (% of TST),M1 activity,Linear regression,-0.09381147917741495,6.686031722927209,5.169218849645191
REM (% of TST),M1 activity,Decision tree,-0.32622343399426823,7.362164942311362,5.540638704713609
REM (% of TST),M1 activity,Random forest,-0.10289191513717477,6.713726897916649,5.075469698084788
REM (% of TST),M1 activity,Mean baseline,-0.05404705817491906,6.563374640031828,5.038257313935068
REM (% of TST),M2 both,Linear regression,-0.11894424671183135,6.762408754962303,5.193103684392725
REM (% of TST),M2 both,Decision tree,-0.45100924775600526,7.7007368798981854,5.910910948063179
REM (% of TST),M2 both,Random forest,-0.08688726394283997,6.664835647004765,5.077628539256851
REM (% of TST),M2 both,Mean baseline,-0.05404705817491906,6.563374640031828,5.038257313935068
deep sleep (% of TST),M0 prior sleep,Linear regression,-0.047781984917955045,4.302585634970841,3.344668101379814
deep sleep (% of TST),M0 prior sleep,Decision tree,-0.13589546275492204,4.479847618247967,3.4989508087884897
deep sleep (% of TST),M0 prior sleep,Random forest,-0.10598917629507087,4.420480689663112,3.4685704034758404
deep sleep (% of TST),M0 prior sleep,Mean baseline,-0.024317245058484094,4.254135332516209,3.309052299179584
deep sleep (% of TST),M1 activity,Linear regression,-0.09858534836077104,4.405659823049188,3.4229269170615835
deep sleep (% of TST),M1 activity,Decision tree,-0.4398554868497093,5.043749537014886,3.8035833131856434
deep sleep (% of TST),M1 activity,Random forest,-0.21194674111899214,4.6273870511986175,3.5562606259240552
deep sleep (% of TST),M1 activity,Mean baseline,-0.024317245058484094,4.254135332516209,3.309052299179584
