outcome,window,model,R2,RMSE
sleep efficiency (%),30,Linear regression,-0.6179682307323271,5.26880407594198
sleep efficiency (%),30,Mean baseline,-0.11481626714396431,4.373495691410663
sleep efficiency (%),60,Linear regression,-0.3882175904567198,4.880404579656438
sleep efficiency (%),60,Mean baseline,-0.09044144484398964,4.325419453842198
sleep efficiency (%),90,Linear regression,-0.29641238499933764,4.716269784615346
sleep efficiency (%),90,Mean baseline,-0.045983040930416275,4.236326027195709
sleep efficiency (%),all,Linear regression,-0.25493026678679764,4.640201619769938
sleep efficiency (%),all,Mean baseline,-0.029376880392662397,4.2025632586368795
total sleep time (min),30,Linear regression,-0.5757340279406722,128.89328251314032
total sleep time (min),30,Mean baseline,-0.010630875846284082,103.22505150711056
total sleep time (min),60,Linear regression,-0.43551723550013044,123.02490340811752
total sleep time (min),60,Mean baseline,-0.04790222963500357,105.11125205892726
total sleep time (min),90,Linear regression,-0.49762312164977374,125.6579861830849
total sleep time (min),90,Mean baseline,-0.04692207185538111,105.0620825318942
total sleep time (min),all,Linear regression,-0.46164563084628973,124.13946616886857
total sleep time (min),all,Mean baseline,-0.03447443084876678,104.43563397183522
WASO (min),30,Linear regression,-0.6283846124845405,33.655790837640424
WASO (min),30,Mean baseline,-0.10873162673289682,27.77119213188435
WASO (min),60,Linear regression,-0.3037615669804541,30.114828365572095
WASO (min),60,Mean baseline,-0.11041905483973924,27.79231720502638
WASO (min),90,Linear regression,-0.3165711728683098,30.26240756531742
WASO (min),90,Mean baseline,-0.15449945706386647,28.338585670759656
WASO (min),all,Linear regression,-0.2849371440261701,29.896630701784314
WASO (min),all,Mean baseline,-0.13793866779206732,28.134599201869612
sleep latency (min),30,Linear regression,-0.47896084503678615,16.504538300007994
sleep latency (min),30,Mean baseline,0.05510175123748429,13.192210233637557
sleep latency (min),60,Linear regression,-0.3261638313254338,15.628727941793098
sleep latency (min),60,Mean baseline,-0.0009843155738842313,13.57808984188919
sleep latency (min),90,Linear regression,-0.1765124415719579,14.720525155019702
sleep latency (min),90,Mean baseline,-0.02886336429472558,13.765877268759892
sleep latency (min),all,Linear regression,-0.19184981594148698,14.816165090212852
sleep latency (min),all,Mean baseline,-0.05092070056202225,13.912654973180434
REM (% of TST),30,Linear regression,-0.5122474072755419,7.861557925138269
REM (% of TST),30,Mean baseline,-0.007107456436877824,6.415567816994742
REM (% of TST),60,Linear regression,-0.20322336520583928,7.012458802511808
REM (% of TST),60,Mean baseline,-0.01616394871022786,6.444349503162344
REM (% of TST),90,Linear regression,-0.12548097165019345,6.782132541679858
REM (% of TST),90,Mean baseline,-0.038912422844243455,6.516083848173527
REM (% of TST),all,Linear regression,-0.11894424671183135,6.762408754962303
REM (% of TST),all,Mean baseline,-0.05404705817491906,6.563374640031828
deep sleep (% of TST),30,Linear regression,-0.5542375612750821,5.240259084361948
deep sleep (% of TST),30,Mean baseline,0.026280486970434058,4.147734948029136
deep sleep (% of TST),60,Linear regression,-0.2200234440336306,4.642780454419463
deep sleep (% of TST),60,Mean baseline,-0.0038844342011914446,4.2114914127763
deep sleep (% of TST),90,Linear regression,-0.22006573032139287,4.64286091363118
deep sleep (% of TST),90,Mean baseline,-0.01883126767640131,4.242728015849479
deep sleep (% of TST),all,Linear regression,-0.227512184351099,4.657007798328783
deep sleep (% of TST),all,Mean baseline,-0.024317245058484094,4.254135332516209
